bench_id,longitude,latitude,morning_status,morning_tree_count,noon_status,noon_tree_count,afternoon_status,afternoon_tree_count,shaded_periods,coverage_score,recommendation
B01,-84.31174473019415,10.072863201171549,sin sombra,0,sin sombra,0,sin sombra,0,0,0,prioritaria para redistribución o nueva sombra
B03,-84.31170428132614,10.072883158380492,sin sombra,0,sin sombra,0,sin sombra,0,0,0,prioritaria para redistribución o nueva sombra
B04,-84.31193998088344,10.072828607100735,sin sombra,0,sin sombra,0,sin sombra,0,0,0,prioritaria para redistribución o nueva sombra
B06,-84.3120060104737,10.072677906008764,sin sombra,0,sin sombra,0,sin sombra,0,0,0,prioritaria para redistribución o nueva sombra
B07,-84.3115689231532,10.072488888767085,sin sombra,0,sin sombra,0,sin sombra,0,0,0,prioritaria para redistribución o nueva sombra
B10,-84.31193593472254,10.072633486356146,sin sombra,0,sin sombra,0,sin sombra,0,0,0,prioritaria para redistribución o nueva sombra
B11,-84.31205271621229,10.072793933214815,sin sombra,0,sin sombra,0,sin sombra,0,0,0,prioritaria para redistribución o nueva sombra
B12,-84.311753371395,10.073067493120679,sin sombra,0,sin sombra,0,sin sombra,0,0,0,prioritaria para redistribución o nueva sombra
B05,-84.3116152750994,10.073031752382365,sombra parcial,1,sin sombra,0,sombra parcial,1,2,2,requiere validación en campo
B02,-84.31140061841353,10.072795173190759,sombra parcial,1,sombra parcial,1,sombra parcial,1,3,3,requiere validación en campo
B09,-84.31168930127366,10.072501660517418,sombra parcial,1,sombra parcial,1,sombra parcial,1,3,3,requiere validación en campo
B08,-84.3115977425879,10.072903524262575,bien cubierta,2,sin sombra,0,bien cubierta,2,2,4,requiere validación en campo
